Name,Nicknames,Age,Born Date,Born Location,Born Country,Continent,Died Date,Died Location,Date Apprehended,Apprehended Age,Conviction,Criminal Penalty,Criminal Penalty Categories,Zodiac Sign
Peter Manuel,The Beast of Birkenshaw,31.0,1927-03-13,"New York City, New York, United States",United States,North America,1958-07-11,"HM Prison Barlinnie, Glasgow, Scotland",1958-01-14,30,"Capital Murder, Rape, Sexual Assault",deathby hanging,Death Sentence,Pisces
Terry Blair,,62.0,1961-09-16,,,,2024-05-11,,2004-09-14,43,Second Degree Murder Si Of First Degree Murder,"25 years imprisonment (1982, paroled after 21 years)Six consecutive life sentence(s) without the possibility of parole (2008)",Life Imprisonment,Virgo
Doug Clark,"The Hollywood Slasher, The Sunset Strip Killer, The Sunset Strip Slayer",75.0,1948-03-10,,,,2023-10-11,,1980-08-11,32,First Degree Murder With Special Circumstances,death,Death Sentence,Pisces
Stanisław Modzelewski,The Vampire of Gałkówek,40.0,1929-03-15,"Szczepankowo, Poland",Poland,Europe,1969-11-13,s Republic,1967-01-01,37,Murder Attempted Murder,death,Death Sentence,Pisces
Michael Hughes,Southside Slayer,,,,,,,,1993-01-01,,,,,
Roger Kibbe,I-5 Strangler,81.0,1939-05-21,,,,2021-02-28,,,,First Degree Murder With Special Circumstances First Degree Murder,6 life sentence(s) without parole plus 25 years,Life Imprisonment,Gemini
Connecticut River Valley Killer,,,,,,,,,,,,,,
Paul Durousseau,The Jacksonville Strangler,,1970-08-11,,,,,,2003-06-17,32,First Degree Murder,"death, commuted to life imprisonment",Death Sentence,Leo
Todd Kohlhepp,,,1971-03-07,,,,,,2016-11-03,45,"Arizona, Kidnapping, South Carolina, Murder Kidnapping First Degree Criminal Sexual Conduct","Arizona, 15 years imprisonmentSouth Carolina, life imprisonment without parole",Life Imprisonment,Pisces
Darren Deon Vann,Donald Vann,,1971-03-21,,,,,,2014-10-18,43,Murder,Life in prison without parole(seven concurrent terms),Life Imprisonment,Aries
Aileen Wuornos,"Sra Kretsch, Susan Lynn Blahovec, Lee Blahovec, Cammie Marsh Greene, Lori Kristine Grody",46.0,1956-02-29,,,,2002-10-09,,1991-01-09,34,Of First-Degree Murder,6 death sentences,Death Sentence,Pisces
Hu Daoping,Wu Jun,,,Chongqing,Chongqing,Asia,2006-04-14,,2005-09-10,,Murder,death,Death Sentence,
José Misael Roldán Concha,,,,"Mfil, Valdivia Province, Chile",Chile,,,"Isla Teja, Valdivia, Chile",,,,deathpenalty (nullified by a presidential pardon)Life in prison,Death Sentence,
Sataro Fukiage,Shinshūmaro,,,"Kyoto Prefecture, Empire of Japan",Empire of Japan,Asia,1926-09-28,"Ichigaya Prison Tokyo, Empire of Japan",1924-01-01,,Murder,death,Death Sentence,
Joseph Taborsky,Mad Dog,36.0,1924-03-23,,,,1960-05-17,,1957-02-23,32,First Degree Murder,death,Death Sentence,Aries
Václav Mrázek,,32.0,1925-10-22,"Svinaov, Czechoslovakia",Czechoslovakia,Europe,1957-12-29,"Pankrc Prison, Prague, Czechoslovakia",1957-03-17,31,Murder,death,Death Sentence,Libra
Anatoly Slivko,,50.0,1938-12-28,"Izerbash, Dagestan ASSR, Russian SFSR, USSR",USSR,Europe,1989-09-16,"Novocherkassk prison, Novocherkassk, Russian SFSR, USSR",1985-12-28,47,Murder With Aggravating Circumstances,,,Capricorn
Cincinnati Strangler,,,,,,,,,1966-12-01,,First Degree Murder,"death, commuted to life imprisonment",Death Sentence,
Paul Steven Haigh,,,1957-09-05,,,,,,1979-01-01,21,Murder,Life without parole,Life Imprisonment,Virgo
Aleksey Sukletin,"The Alligator, The Vassilyevo Cannibal, The Kazan Ogre, The Volga Alligator",44.0,1943-03-23,"Kazan, Tatar ASSR, Russian SFSR, Soviet Union",Soviet Union,Europe,1987-07-29,"Kazan, Tatar ASSR, Russian SFSR, Soviet Union",1985-06-04,42,"Murder With Aggravating Circumstances, Cannibalism",death,Death Sentence,Aries
Roberto Succo,"The Monster of Mestre, The Killer with the Eyes of Ice, The Full Moon Assassin, The Cherubino Nero, Roberto Kurt",26.0,1962-04-03,"Mestre, Venice, Italy",Italy,Europe,1988-05-23,"Vicenza, Italy",1988-02-28,25,Murder,Never tried,Not Sentenced,Aries
Walter E. Ellis,"The Milwaukee North Side Strangler, Wodell",53.0,1960-06-24,,,,2013-12-01,,2009-09-07,49,,Seven consecutive life sentence(s) without the possibility of parole,Life Imprisonment,Cancer
Harrison Graham,"Marty, “Frank” “junior”",,1959-09-09,,,,,,1987-08-17,27,", Murder, Desecration A Corpse","death, commuted to life",Death Sentence,Virgo
Guy Georges,The Beast of the Bastille,,1962-10-15,"Franois, France",France,Europe,,,1998-03-26,35,,22 years to life imprisonment (5 April 2001),Life Imprisonment,Libra
Motta Navas,,,,"Kollam, India",India,Asia,,,,,,,,
Paul Dennis Reid,"The Fast Food Killer, Justin Parks",55.0,1957-11-12,,,,2013-11-01,,1997-06-25,39,First Degree Murder,death,Death Sentence,Scorpio
Samuel Sidyno,Capital Park Serial Killer,,,South Africa,South Africa,Africa,,,1999-01-06,,,"7 life sentence(s), effectively 40 years",Life Imprisonment,
Ripper Jayanandan,Ripper,,,"Thrissur, Kerala, India",India,Asia,,,2006-11-23,,Murder,deathby hanging,Death Sentence,
Sibusiso Duma,,,1984-05-06,South Africa,South Africa,Africa,,,2007-01-01,22,,8 life sentence(s) + 139 years,Life Imprisonment,Taurus
Tommy Lynn Sells,The Coast-to-Coast Killer,49.0,1964-06-28,,,,2014-04-03,,2000-01-02,35,"Felony Theft, Grand Theft Auto, Malicious Wounding, Capital Murder, Public Intoxication, Theft September,","death(September 20, 2000)",Death Sentence,Cancer
Volker Eckert,,,,", East Germany",East Germany,Europe,,"Bayreuth, Bavaria, Germany",2006-11-17,,Attempted Murder,None (Killed himself before sentencing),Suicide or Died Before Sentence,
Lorenzo Gilyard,The Kansas City Strangler,,1950-05-24,,,,,,2004-01-01,53,First Degree Murder,life imprisonment without parole,Life Imprisonment,Gemini
Władysław Mazurkiewicz,,45.0,1911-01-31,"Krakw, Poland",Poland,Europe,1957-01-29,s Republic,,,Murder,death,Death Sentence,Aquarius
Gong Runbo,,,,China,China,Asia,2006-12-31,China,2006-02-28,,Murder,death,Death Sentence,
The Doodler,The Black Doodler,,,,,,,,,,,,,
Cristopher Chávez Cuellar,The Soulless,,,"Puerto Leguzamo, Putumayo Department, Colombia",Colombia,South America,,,2015-02-01,,Murder,40 years imprisonment,Years Imprisonment,
András Pándy,,86.0,1927-06-01,"Chop, Czechoslovakia",Czechoslovakia,Europe,2013-12-23,"Bruges, Belgium",1997-10-01,70,"Murder Attempted Murder, Rape",life imprisonment without parole,Life Imprisonment,Gemini
John Wayne Glover,"The Granny Killer, The Monster of Mosman",72.0,1932-11-26,"Wolverhampton, UK",UK,Europe,2005-09-09,"Lithgow Correctional Centre, Lithgow, New South Wales, Australia",1990-03-19,57,Murder,6 life sentence(s) without the possibility of parole,Life Imprisonment,Sagittarius
Alexander Sergeychik,,,,"Semyonovka, Byerastavitsa District, BSSR",BSSR,Europe,2007-11-26,"Pishchalauski Castle, Minsk, Belarus",,,Murder With Aggravating Circumstances,death,Death Sentence,
Adrián Arroyo Gutiérrez,"The Southern Psychopath, The Indingent Killer",,,"San Jos, Costa Rica",Costa Rica,North America,,,2015-12-01,,Murder,110 years imprisonment,Years Imprisonment,
Joseph Naso,"Crazy Joe, The Double Initial Killer",,1934-01-07,,,,,,2011-04-11,77,First Degree Murder With Special Circumstances Theft,deathPenalty (de jure),Death Sentence,Capricorn
John George Haigh,Acid Bath Murderer,40.0,1909-07-24,"Stamford, Lincolnshire, England",England,Europe,1949-08-10,"Wandsworth Prison, England",1949-01-01,39,Murder,Execution by hanging,Death Sentence,Leo
Jack The Stripper,Ann Phillips,21.0,1938-03-24,"Bebington, Cheshire, England",England,Europe,1959-06-17,"London, England",,,,,,Aries
Morris Solomon Jr.,The Sacramento Slayer,80.0,1944-03-15,,,,2024-08-01,,1987-04-22,43,First Degree Murder With Special Circumstances Second Degree Murder,death,Death Sentence,Pisces
Mack Ray Edwards,,,,,,,,,1970-03-06,,First-Degree Murder Kidnapping,death,Death Sentence,
Terry Peder Rasmussen,"Robert , Bob, Evans  Curtis Mayo Kimball  Gordon Jensen  Lawrence , Larry, William Vanner  Gerald , Gerry, Mockerman",,1943-12-23,,,,,,2002-01-01,58,,,,Capricorn
Robert Berdella,"The Kansas City Butcher, The Collector",43.0,1949-01-31,,,,1992-10-08,,1988-04-02,39,"First-Degree Murder  × Second-Degree Murder  × Selling Amphetamines, Sodomy, Assault, Sexual Assault",life imprisonment without parole (1988),Life Imprisonment,Aquarius
Juan Chavez,Job Rocha,,,"Ciudad Juarez, Mexico",Mexico,North America,1999-09-09,,,,First Degree Murder With Special Circumstances,life imprisonment without parole,Life Imprisonment,
David Berkowitz,"The Son of Sam, The .44 Caliber Killer, Mr. Monster",,1953-06-01,,,,,,1977-08-10,24,"Second-Degree Murder, Attempted Second-Degree Murder",life imprisonment with the possibility of parole after 25 years,Life Imprisonment,Gemini
Richard Chase,"The Dracula Killer, The Vampire of Sacramento The Vampire Killer",30.0,1950-05-23,,,,1980-12-26,S,1978-01-27,27,First Degree Murder With Special Circumstances,death,Death Sentence,Gemini
Michael Terry,Michael James Potts,,,,,,,,1986-11-28,,Murder,life imprisonment x6,Life Imprisonment,
Lázaro Barbosa De Sousa,,32.0,1988-08-27,"Barra do Mendes, Bahia, Brazil",Brazil,South America,2021-06-28,"guas Lindas de Gois, Gois, Brazil",,,,,,Virgo
Alfredo Galán,"The Playing Card Killer, The Deck of Cards Killer, The Tokarev Killer",,1978-04-05,"La Mancha, Spain",Spain,,,,2003-07-03,25,Murder,142 years and 3 months imprisonment,Years Imprisonment,Aries
Friedrich Schumann,Terror of Falkenhagen Lake,28.0,1893-02-01,"Spandau, German Empire",German Empire,Europe,1921-08-27,"Pltzensee Prison, Berlin, Weimar Republic",1920-08-20,27,"Murder Rape, Burglary",death,Death Sentence,Aquarius
Eugen Weidmann,,31.0,1908-02-05,"Frankfurt, German Empire",German Empire,Europe,1939-06-17,"Versailles, France",1937-12-08,29,Murder,death,Death Sentence,Aquarius
Rhonda Belle Martin,,,,United States,United States,North America,1957-10-11,,,,First Degree Murder,death,Death Sentence,
Leslie Irvin,"The Mad Dog Killer, Joe Goebbels",,1924-04-02,,,,,,1955-04-08,31,First Degree Murder,"death, commuted to life imprisonment",Death Sentence,Aries
Lemuel Smith,,,1941-07-23,,,,,,1977-08-19,36,,"death, commuted to Life",Death Sentence,Leo
Freeway Phantom,,,,,,,,,,,,,,
David Mason,,36.0,1956-12-02,,,,1993-08-24,,1981-02-04,24,"First Degree Murder With Special Circumstances Assault With A Deadly Weapon, Robbery","death(January 27, 1984)",Death Sentence,Sagittarius
Dayton Leroy Rogers,The Molalla Forest Killer,,1953-09-30,,,,,,1987-01-01,33,First Degree Murder,"death, commuted to life imprisonment",Death Sentence,Libra
Norbert Poehlke,The Hammer-Killer,34.0,1951-09-15,"Stuttgart, West Germany",West Germany,Europe,1985-10-22,"Torre Canne, Brindisi, Italy",,,Committed Suicide Before Apprehension,Committed suicide before apprehension,Suicide or Died Before Sentence,Virgo
Wolfgang Schmidt,"Pink Giant, The Beast of Beelitz, Beelitz-Murderer",,1966-10-05,"Lehnin, Bezirk Potsdam, East Germany",East Germany,Europe,,,1991-08-01,24,Murder,15 years in prison and detention in a psychiatric hospital,Years Imprisonment,Libra
Cleophus Prince Jr.,The Clairemont Killer,,1967-07-24,,,,,,1991-03-03,23,"July,",,,Leo
Nathaniel White,,,1960-07-28,,,,,,1992-08-02,32,Murder,150 years to life imprisonment,Life Imprisonment,Leo
Samuel Bongani Mfeka,,,,South Africa,South Africa,Africa,,,,,Murder,life imprisonment,Life Imprisonment,
Gary Ray Bowles,,57.0,1962-01-25,,,,2019-08-22,,1994-11-22,32,"First Degree Murder , Sexual Battery, Aggravated Battery, Armed Robbery, Robbery, Burglary, Grand Theft Auto, Grand Theft",Two death sentences (August 1997 & 1999),Death Sentence,Aquarius
Rory Enrique Conde,The Tamiami Trail Strangler,,1965-06-14,"Barranquilla, Colombia",Colombia,South America,,,1995-06-19,30,Murder,death,Death Sentence,Gemini
Nicholas Lungisa Ncama,,,,"Port Elizabeth, South Africa",South Africa,Africa,,,1997-11-01,,,"Life sentence, effectively 42 years",Life Imprisonment,
Aleksandr Rubel,,,1980-12-25,"Ukrainian SSR, Soviet Union",Soviet Union,Europe,,,,,,8 years imprisonment,Years Imprisonment,Capricorn
Celine Lesage,,,,France,France,Europe,,,2007-10-01,,Murder,15 years in prison,Years Imprisonment,
Filiberto Hernández Martínez,"The Tamuin Monster, the Beast Tamuin, or , the Tamuin Strangler",,,"Ebano, San Luis Potosi, Mexico",Mexico,North America,,,2014-07-05,,,life imprisonment,Life Imprisonment,
Zodiac Killer,,,,,,,,,,,,,,
Carl Panzram,"Jefferson Baldwin  Cooper John II  Harry Panzram  Jack Allen  Jefferson Davis Jefferson Rhodes  John King  John O,Leary  John Ape",39.0,1891-06-28,,,,1930-09-05,,,,"First Degree Murder, Countless Burglaries, Larcenies, Robberies, Assaults, And Escapes Sodomy",deathby hanging,Death Sentence,Cancer
Steve Wright,Suffolk Strangler,,1958-04-24,"Erpingham, Norfolk, England",England,Europe,,,2006-12-19,48,Murder,life imprisonment (whole life order),Life Imprisonment,Taurus
Stephen Akinmurele,The Cul-De-Sac Killer,21.0,1978-03-16,Nigeria,Nigeria,Africa,1999-08-28,"Manchester Prison, Manchester, England",,,,,,Pisces
Joe Metheny,,62.0,1955-03-02,,,,2017-08-05,,1996-12-15,41,"Murder, Kidnapping, Rape",Life without parole,Life Imprisonment,Pisces
Michel Peiry,The Sadist of Romont,,1959-02-28,"Romont, Switzerland",Switzerland,Europe,,,1987-05-01,28,Murder,life imprisonment,Life Imprisonment,Pisces
Hubert Pilčík,,59.0,1891-10-14,Hungary,Hungary,Europe,1951-09-09,"Plze, Czechoslovakia",1951-09-01,59,,,,Libra
Melvin Rees,The Sex Beast,,,,,,1995-10-26,,1960-06-24,,Death; Commuted To Life Imprisonment,,,
David Maust,Crazy Dave,51.0,1954-04-05,,,,2006-01-20,,2003-12-10,49,"Military, Involuntary Manslaughter, Larceny, Illinois, Murder, Indiana, Murder","Military, 4 years imprisonmentIllinois, 35 years imprisonmentIndianaLife without parole",Life Imprisonment,Aries
William Patrick Fyfe,The Killer Hyman,,1955-02-27,"Toronto, Ontario, Canada",Canada,North America,,,1999-12-22,44,Murder,life imprisonment,Life Imprisonment,Pisces
Willem Van Eijk,,,,,,,2019-06-19,"Vught, Netherlands",2001-11-12,,,life imprisonment,Life Imprisonment,
Danny Rolling,"The Gainesville Ripper, Michael Kennedy Jr.",52.0,1954-05-26,,,,2006-10-25,,1990-09-07,36,First Degree Murder,deathby lethal injection,Death Sentence,Gemini
Allan Joseph Legere,The Monster of the Miramichi,,1948-02-13,"Chatham, New Brunswick, Canada",Canada,North America,,,1989-11-24,41,"Murder, Arson, Rapist",life imprisonment without the possibility of parole for 25 years,Life Imprisonment,Aquarius
Joseph E. Duncan Iii,"Jet, Jazzi Jet",58.0,1963-02-25,,,,2021-03-28,,2005-07-02,42,"Federal, Kidnapping A Child Resulting In Death U.S.C. § Kidnapping A Child U.S.C. § Aggravated Sexual Abuse U.S.C. § Sexual Exploitation Of A Child Resulting In Death U.S.C. § Being A Felon In Possession Of A Firearm U.S.C. § Possession Of A Stolen Firearm U.S.C. § Using A Firearm During A Crime Of Violence Resulting In Death U.S.C. § Transportation Of A Stolen Vehicle U.S.C. § Possession Of An Unregistered Firearm U.S.C. § Idaho, First Degree Murder First Degree Kidnapping California, First Degree Murder With Special Circumstances, Kidnapping","FederaldeathIdaho and California, life imprisonment without the possibility of parole",Death Sentence,Pisces
Vincent Johnson,"The Brooklyn Strangler, The Williamsburg Strangler",,1969-01-06,,,,,,2000-08-05,31,Murder,life imprisonment without parole,Life Imprisonment,Capricorn
Vinko Pintarić,,50.0,1941-04-03,"Zrinski Topolovac, Banovina of Croatia, Kingdom of Yugoslavia",Kingdom of Yugoslavia,Europe,1991-05-25,"Veliko Trgovie, SR Croatia, SFR Yugoslavia",1973-05-01,32,"Murder, Attempted Murder, Burglary","death, commuted to 20 years imprisonment (1974), 20 years imprisonment (1983)",Death Sentence,Aries
Edward Edwards,Wayne,,,,,,2011-04-07,,2009-01-01,,First Degree Intentional Homicide Aggravated Murder,life imprisonment x4 death,Death Sentence,
Thomas Dillon,Ohio Outdoorsman Killer,61.0,1950-07-09,,,,2011-10-21,,1992-11-27,42,,5 terms of 30 years to life for aggravated murder 15 years additional for gun specification,Life Imprisonment,Cancer
Marc Dutroux,,,1956-11-06,"Ixelles, Brussels, Belgium",Belgium,Europe,,,1996-08-13,39,"Child Pornography, Child Sexual Abuse, Kidnapping, Murder, Theft",life imprisonment,Life Imprisonment,Scorpio
William Dathan Holbert,William Adolfo Cortez,,1979-09-12,,,,,,2010-07-26,30,Murder,47 years,Years Imprisonment,Virgo
Jerome Dennis,,,1966-12-14,,,,,,1992-04-13,25,Murder Aggravated Sexual Assault False Imprisonment Aggravated Assault Count Armed Robbery Parole Violation Count,life imprisonment (minimum of 60 years),Life Imprisonment,Sagittarius
Belize Ripper,Jack the Butcher,,,,,,,,,,,,,
Elroy Chester,,43.0,1969-06-14,,,,2013-06-12,,,,Capital Murder,"death(September 26, 1998)",Death Sentence,Gemini
Elisabeth Wiese,The angel-maker of St. Pauli,51.0,1853-07-01,"Bilshausen, Lower Saxony, German Confederation",German Confederation,Europe,1905-02-02,"Hamburg, German Empire",1903-01-01,49,Murder Fraud,death,Death Sentence,Cancer
San Mateo Slasher,The San Mateo Slasher,,,,,,,,2015-01-22,,,,,
Honolulu Strangler,The Honolulu Rapist,,,,,,,,,,,,,
Anthony Kirkland,,,1968-09-13,United States,United States,North America,,,2009-03-08,40,"Aggravated Murder Murder Voluntary Manslaughter, Attempted Rape Aggravated Robbery Abuse Of A Corpse",death,Death Sentence,Virgo
William Macdonald,"The (Sydney) Mutilator, Alan Edward Brennan, David Alan (assumed names)",,,"Liverpool, England, UK",UK,Europe,2015-05-12,"Prince of Wales Hospital, Randwick, New South Wales, Australia",1963-05-01,,,life imprisonment,Life Imprisonment,
Harry Powers,"John Schroeder, Joseph Gildow, Cornelius Orvin Pierson A.R. Weaver",39.0,1892-11-17,"Beerta, Groningen, Netherlands",Netherlands,Europe,1932-03-18,,,,First Degree Murder,death,Death Sentence,Scorpio
Anna Marie Hahn,"Marie Felser, Marie Fisher, Arsenic Anna, The Blonde Borgia, Angel of Mercy",,,"Bavaria, German Empire",German Empire,Europe,,"Ohio State Penitentiary, Columbus, Ohio, United States",1937-01-01,,First Degree Murder,death,Death Sentence,
Robert Nixon,The Brick Moron,19.0,1919-07-19,,,,1939-06-16,,1938-05-28,18,Murder,death,Death Sentence,Cancer
Waneta Hoyt,,52.0,1946-05-13,,,,1998-08-13,,1994-01-01,47,,life imprisonment,Life Imprisonment,Taurus
Janie Lou Gibbs,,,,,,,,,1967-01-01,,Murder,life imprisonment,Life Imprisonment,
South Dade Killer,,,,,,,,,,,,,,
Gerald Parker,"The Bedroom Basher, The Bludgeon Killer",,,,,,,,1996-01-01,,"Murder, Rape",death,Death Sentence,
Phillip Carl Jablonski,,73.0,1946-01-03,,,,2019-12-27,,1991-04-28,45,First Degree Murder With Special Circumstances,death,Death Sentence,Capricorn
Arthur Gary Bishop,"Lynn Jones, Roger W. Downs",35.0,1952-09-29,,,,1988-06-10,,1983-07-24,30,"First Degree Murder Aggravated Kidnapping Sexual Abuse Of A Minor, Embezzlement",death,Death Sentence,Libra
Faryion Wardrip,,,1959-03-06,,,,,,1986-05-06,27,"Capital Murder, Second-Degree Murder","35 years in prison (1986, paroled after 11 years) deathplus three life sentence(s) without the possibility of parole (1999)",Death Sentence,Pisces
Timothy Wilson Spencer,"The Southside Strangler, The Southside Slayer, The Southside Rapist, The Masked Rapist",32.0,1962-03-17,,,,1994-04-27,,1988-01-20,25,"Capital Murder Rape, Burglary, Robbery",deathby electrocution,Death Sentence,Pisces
Robert Shulman,,52.0,1954-03-28,,,,2006-04-13,,1996-04-06,42,"First Degree Murder, Second Degree Murder","Suffolk County:death, commuted to life imprisonmentWestchester County:25 years-to-, life imprisonment",Death Sentence,Aries
Elias Abuelazam,Elias Abullazam,,1976-08-29,"Ramla, Israel",Israel,Asia,,,2010-08-11,33,First Degree Murder,life imprisonment without the possibility of parole,Life Imprisonment,Virgo
Joachim Knychała,,33.0,1952-09-08,s Republic,s Republic,,1985-10-28,s Republic,1982-05-01,29,Murder,death,Death Sentence,Virgo
Archibald Hall,"Roy Fontaine, Killer Butler, Monster Butler",,,"Glasgow, Scotland",Scotland,Europe,2002-09-16,"HMP Kingston, Portsmouth, England",1978-01-16,,Murder,life imprisonment,Life Imprisonment,
Colin Ireland,Gay Slayer,57.0,1954-03-16,"Dartford, Kent, England",England,Europe,2012-02-21,"HM Prison Wakefield, West Yorkshire, England",1993-07-21,39,Murder,5 life sentence(s),Life Imprisonment,Pisces
Claude Lastennet,,52.0,1971-01-19,"Brest, Finistre Department, France",France,Europe,2023-12-19,"Vivonne Penitentiary Center, Vivonne, Vienne Department, France",1994-01-12,22,Murder,life imprisonment with 18 years security period,Life Imprisonment,Capricorn
Metod Trobec,,57.0,1948-06-06,"Planina nad Horjulom, Socialist Slovenia, Yugoslavia",Yugoslavia,Europe,2006-05-30,", Slovenska Vas, Southeast Slovenia, Slovenia",1979-07-01,31,,"death, commuted to 20 years in prison (murders), 15 years imprisonment (prison assaults)",Death Sentence,Gemini
Romulus Vereş,The Man with the Hammer,,,"Cluj, Romania",Romania,Europe,1993-12-13,"tei, Romania",1974-02-14,,Murder,Not guilty by reason of insanity,Not Sentenced,
Akira Nishiguchi,,,,"Osaka, Osaka Prefecture, Japan",Japan,Asia,1970-12-11,"ku, Fukuoka Prefecture, Japan",1964-01-03,,Murder,death,Death Sentence,
Boris Gusakov,The Student Hunter,32.0,1938-01-01,"Balashikha, Moscow Oblast, RSFSR",RSFSR,Europe,1970-12-27,"Veliky Novgorod, Novgorod Oblast, RSFSR",1968-05-16,30,"Sexual Assault, Murder",death,Death Sentence,Capricorn
Anatoly Biryukov,The Baby Hunter,40.0,1939-02-18,,,,1979-02-24,"Moscow, RSFSR",1977-10-24,38,Murder With Aggravating Circumstances,death,Death Sentence,Aquarius
Süleyman Aktaş,The Nailing Killer,,,"amba, Bozkurt, Denizli, Turkey",Turkey,Asia,,,,,,,,
B1 Butcher,,,,,,,,,,,,,,
Alexander Spesivtsev,"Novokuznetsk Monster, Siberian Ripper",,1970-03-01,"Kemerovo Oblast, RSFSR, Soviet Union",Soviet Union,Europe,,,1996-10-01,26,,Compulsory medical measures (1992) 10 years of imprisonment (1997) Involuntary commitment to the Kamyshin psychiatric hospital of federal service of completing punishment (1999),Years Imprisonment,Pisces
Charlie Brandt,,,,,,,2004-09-13,,,,,,,
Scott Lee Kimball,"Joe Snitch, Hannibal",,1966-09-21,,,,,,2006-03-14,39,"Second Degree Murder Fraud, Forgery, Fraud, Felon In Possession Of A Firearm, Attempted Escape",70 years imprisonment,Years Imprisonment,Virgo
Robert Black,,68.0,1947-04-21,"Grangemouth, Stirlingshire, Scotland",Scotland,Europe,2016-01-12,"HMP Maghaberry, Northern Ireland",1990-07-14,43,"Murder, Kidnap, Preventing The Lawful Burial Of A Body, Sexual Assault, Attempted Kidnap",life imprisonment,Life Imprisonment,Taurus
Max Gufler,,,1918-05-01,,,,,,1958-11-01,40,Murder,life imprisonment,Life Imprisonment,Taurus
Ernesto Picchioni,The Monster of Nerola,,,"Ascrea, Italy",Italy,Europe,1967-09-09,"Porto Azzurro, Italy",1949-03-12,,Murder,Two life sentence(s) plus 26 years,Life Imprisonment,
Baekuni,Babe,,,Indonesia,Indonesia,Asia,,,2010-01-09,,"Murder, Rape, Dismemberment",death,Death Sentence,
Igor Chernat,"The Evil Spirit of Kaukjarvi, The Kamensky Maniac",,,"Odessa, UkSSR",UkSSR,,1987-10-21,"Leningrad, RSFSR",1986-09-01,,Murder,death,Death Sentence,
Ricky Lee Green,,36.0,1960-12-27,,,,1997-10-08,,1989-04-27,28,Capital Murder,"death(Fefferman case), life imprisonment",Death Sentence,Capricorn
Robert Hicks Murray,"Robert Charles Mackie, Charles Richard Mackie, Charles Sterling",,,"Possibly Kingston Hill, London, England",England,Europe,,"Eastbourne, East Sussex, England",,,,,,
William Dean Christensen,"The American Jack the Ripper, Richard Owen, John Schrader, Jeffrey Shrader",45.0,1945-09-24,,,,1990-10-31,,1983-12-04,38,First Degree Murder,"Pennsylvania, life imprisonmentMaryland40 years",Life Imprisonment,Libra
John Cooper,The Bullseye Killer,,1944-09-03,"Milford Haven, Pembrokeshire, Wales",Wales,Europe,,,2009-01-01,64,"Murders, Rape, Sexual Assault, Burglaries, And Attempted Robbery",life imprisonment (whole life order),Life Imprisonment,Virgo
Cary Stayner,"The Yosemite Park Killer, The Yosemite Killer",,1961-08-13,,,,,,1999-07-24,37,"Federal, First Degree Murder U.S.C. § Kidnapping Resulting In Death U.S.C. § Attempted Aggravated Sexual Abuse Resulting In Death U.S.C. § California, First Degree Murder With Special Circumstances Kidnapping",FederalLife without paroleCaliforniadeath,Death Sentence,Leo
Tony Costa,,29.0,1944-08-02,"Cambridge, Massachusetts",Massachusetts,North America,1974-05-12,"Walpole, Massachusetts",1969-01-01,24,Murder,life imprisonment,Life Imprisonment,Leo
Carlton Gary,"Carl Michaels, Michael David, The Stocking Strangler",67.0,1950-09-24,,,,2018-03-15,,1984-05-03,33,"Armed Robbery February & March, Escape August, Sexual Assault, Murder & Property Damage August,","21 years term imprisonment (1979), death(August 27, 1986)",Death Sentence,Libra
Oakland County Child Killer,"The Babysitter Killer, The Babysitter, The Snow Murderer",,,,,,,,,,,,,
Robert Rozier,"Bob Rozier, Neariah Israel, Robert Rameses",,1955-07-28,,,,,,,,,10 years imprisonment Murder × 4 (1986)Imprisoned for 25–life Check bouncing (2001),Life Imprisonment,Leo
Leonard Fraser,The Rockhampton Rapist,55.0,1951-06-27,"Ingham, Queensland, Australia",Australia,Oceania,2007-01-01,"Princess Alexandra Hospital in Woolloongabba, Queensland, Australia",1999-01-01,47,,5 × life imprisonment + 25 years,Life Imprisonment,Cancer
Christopher Peterson,The Shotgun Killer,,1969-01-20,,,,,,,,"Murder Attempted Murder, Armed Robbery","death, commuted to 120 years imprisonment",Death Sentence,Aquarius
Ricardo Caputo,The Lady Killer,,,"Mendoza, Mendoza Province, Argentina",Argentina,South America,,,1994-03-01,,,,,
Anthony Allen Shore,"The Tourniquet Killer, The Strangler",55.0,1962-06-25,,,,2018-01-18,,2003-10-24,41,"Child Molestation, Drug Possession, Kidnapping, Capital Murder, Sexual Assault","death(November 15, 2004)",Death Sentence,Cancer
Daytona Beach Killer,The Daytona Beach Killer,,1982-03-12,,,,,,2019-09-15,37,,life imprisonment,Life Imprisonment,Pisces
Jozef Slovák,"The Genius murderer, The Bratislava strangler",,1951-04-07,"Plaveck tvrtok, Slovakia",Slovakia,Europe,,,1991-01-01,39,Murder Specifically Mass Murder,"life imprisonment (currently serving in Ilava, Slovakia)",Life Imprisonment,Aries
Monster Of Udine,,,,unknown,unknown,Unknown,,,,,,,,
John Martin Crawford,The Lady Killer,58.0,1962-03-29,"Steinbach, Manitoba, Canada",Canada,North America,2020-12-16,"Regional Psychiatric Centre, Saskatoon, Saskatchewan, Canada",1993-01-01,30,"First Degree Murder, Second Degree Murder Manslaughter",life imprisonment,Life Imprisonment,Aries
