Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Edward Edwards,Male,United States,United States,North America,1977,1996,1986,19,1980s,5,0,5,"Shot a young couple in 1977 and stabbed and strangled another in 1980; died months prior to execution on April 7, 2011, for shooting his foster son in 1996 insurance murder."
Thomas Dillon,Male,United States,United States,North America,1989,1992,1990,3,1990s,5,0,5,Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.
Marc Dutroux,Male,Belgium,Belgium,Europe,1995,1996,1995,1,1990s,5,0,5,Child molester who killed 4 of possibly 11 victims. He was also convicted for murdering one of his partners in crime.
William Dathan Holbert,Male,Panama,Panama,North America,,2010,,,<NA>s,5,0,5,"Known as ""Wild Bill""; American expatriate who had the bodies of five other Americans buried on his property. He would kill people to get their money and properties. His wife, Laura Michelle Reese, was also arrested."
Sek Kim Wah,Male,Singapore,Singapore,Asia,1983,1992,1987,9,1980s,5,0,5,"Sek Kim Wah, who was of Chinese Singaporean descent, was 19 years old when he killed five victims in two separate robbery cases, using raffia string to strangle them. Other methods employed were hitting their heads with a heavy object (like a wooden stool) and electrocution (which was unsuccessful). He robbed and killed a couple before abandoning their corpses at Seletar Reservoir on 30 June 1983 and then, on 23 July 1983, killed three more people at Andrew Road with an accomplice who did not take part in the killings. He was arrested and indicted for murder six days later and was sentenced to death on 14 August 1985; he lost an appeal and he was hanged on 9 December 1988."
Jerome Dennis,Male,United States,United States,North America,1991,1992,1991,1,1990s,5,0,5,Killed Newark women while on parole.
Belize Ripper,Male,Belize,Belize,North America,1998,2000,1999,2,1990s,5,0,5,The Belize Ripper was an unidentified Belizean serial killer who abducted and murdered five young girls in Belize City between 1998 and 2000.
Elroy Chester,Male,United States,United States,North America,1997,1998,1997,1,1990s,5,0,5,"Murdered four white people in racially-motivated attacks, and also admitted to the murder of his brother-in-law. In addition, he was linked to four non-fatal shootings and three rapes."
Elisabeth Wiese,Female,Germany,Germany,Europe,1902,1903,1902,1,1900s,5,0,5,"Known as the ""Angel Maker of St. Pauli""; baby farmer who poisoned her grandchild and four others with morphine and burned their bodies in a stove in 1902 and 1903."
Phantom Killer,Male,United States,United States,North America,1946,1955,1950,9,1950s,5,0,5,"Believed to have committed the Texarkana Moonlight Murders in Texas between February 23 and May 4, 1946."
San Mateo slasher,Male,United States,United States,North America,1976,1985,1980,9,1980s,5,0,5,"Known as the ""Gypsy Hill killings""; five unsolved killings, of young women in San Mateo County, California during early 1976."
Honolulu Strangler,Male,United States,United States,North America,1985,1986,1985,1,1980s,5,0,5,Raped and strangled five young women in Hawaii in 1985 and 1986.
Anthony Kirkland,Male,United States,United States,North America,1987,2009,1998,22,1990s,5,0,5,"Kirkland murdered four females between 2006 and 2009, three of them children, following a 16-year prison term for the murder of another woman."
William MacDonald,Male,Australia,Australia,Oceania,1961,1962,1961,1,1960s,5,0,5,Murdered derelicts in Sydney and Brisbane between 1960 and 1962; sentenced to five consecutive life sentences.
Harry Powers,Male,United States,United States,North America,1931,1940,1935,9,1930s,5,0,5,"""Lonely Hearts"" swindler and conman. Killed two women and three children in Quiet Dell, West Virginia. Arrested after the bodies were found buried near his garage in 1931 and hanged in 1932."
Anna Marie Hahn,Female,United States,United States,North America,1933,1937,1935,4,1930s,5,0,5,German-born murder-for-profit killer who poisoned five elderly men; executed in 1938.
Robert Nixon,Male,United States,United States,North America,1936,1938,1937,2,1930s,5,0,5,"Killed 5 women in the 1930s with bricks. Executed by electrocution in Illinois on June 15, 1939."
Waneta Hoyt,Female,United States,United States,North America,1965,1971,1968,6,1960s,5,0,5,New York woman who murdered her five children.
Janie Lou Gibbs,Male,United States,United States,North America,1966,1967,1966,1,1960s,5,0,5,"Georgia poisoner who killed five family members. Sentenced to life. Died in prison on February 7, 2010."
South Dade Killer,Male,United States,United States,North America,1975,1984,1979,9,1970s,5,0,5,"Known as the ""Flat-Tire murders"". Killed 5 women in 1975."
Gerald Parker,Male,United States,United States,North America,1978,1979,1978,1,1970s,5,0,5,"Known as ""The Bedroom Basher"" raped and murdered five women and killed the unborn baby of a sixth woman in Orange County, California."
Phillip Carl Jablonski,Male,United States,United States,North America,1978,1991,1984,13,1980s,5,0,5,convicted of killing five women in California and Utah between 1978 and 1991. Sentenced to death in 1994.
Arthur Gary Bishop,Male,United States,United States,North America,1979,1983,1981,4,1980s,5,0,5,Utah man who murdered five young boys; executed in 1988.
Faryion Wardrip,Male,United States,United States,North America,1984,1986,1985,2,1980s,5,0,5,"Killed five young women around Wichita Falls, Texas between 1984 and 1986."
Timothy Wilson Spencer,Male,United States,United States,North America,1984,1987,1985,3,1980s,5,0,5,"Known as ""The Southside Strangler""; raped and killed five women in Virginia. Executed in the electric chair on April 27, 1994."
Robert Shulman,Male,United States,United States,North America,1991,1996,1993,5,1990s,5,0,5,Convicted of murdering five sex workers between 1991 and 1996.
Elias Abuelazam,Male,United States,United States,North America,2009,2010,2009,1,2000s,5,0,5,"Known as ""The Serial Slasher"". Israeli-Arab immigrant that stabbed victims to death. Sentenced to life on June 25, 2012."
Joachim Knychała,Male,Poland,Poland,Europe,1975,1982,1978,7,1970s,5,0,5,"Known as ""The Vampire of Bytom"" or ""Frankenstein"", who murdered five women between 1975 and 1982."
Archibald Hall,Male,United Kingdom,United Kingdom,Europe,1977,1986,1981,9,1980s,5,0,5,"Called ""The Monster Butler"". Died in prison in 2002."
Colin Ireland,Male,United Kingdom,United Kingdom,Europe,1993,2002,1997,9,1990s,5,0,5,"Called ""The Gay Slayer"". A highly organized serial killer, Ireland picked passive masochist gay men in the Coleherne public house, accompanied them home, and murdered them after they were voluntarily restrained. He then cleaned the house of forensic evidence and left when he was sure of not appearing suspicious."
Claude Lastennet,Male,France,France,Europe,1993,1994,1993,1,1990s,5,0,5,Convicted of murdering 5 old women between August 1993 and January 1994.
Metod Trobec,Male,SR Slovenia,SR Slovenia,Europe,1976,1978,1977,2,1970s,5,0,5,"Raped, killed and cremated five women in his home. Also tried to murder two other immates while in prison before committing suicide in his cell in 2006."
Romulus Vereş,Male,Romania,Romania,Europe,1970,,,,<NA>s,5,0,5,"Known as ""The Hammer Man"". Institutionalized."
Akira Nishiguchi,Male,Japan,Japan,Asia,1963,1972,1967,9,1960s,5,0,5,"Fraudster, murdered two people while engaging in confidence scams and killed three others while on the run from justice. Hanged in 1970."
Boris Gusakov,Male,Soviet Union,Soviet Union,Multiple continents,1964,1968,1966,4,1960s,5,0,5,"Known as ""Student Hunter""; committed 15 sexual assaults, including 5 murders, on girls and young women from 1964 to 1968."
Anatoly Biryukov,Male,Soviet Union,Soviet Union,Multiple continents,1977,1986,1981,9,1980s,5,0,5,"Known as ""The Hunter of Babies"": responsible for the kidnappings and subsequent murders of five infants from Moscow in the fall of 1977."
Süleyman Aktaş,Male,Turkey,Turkey,Asia,1986,1994,1990,8,1990s,5,0,5,"Known as ""The Nailing Killer"": responsible for the murders of five people in 1986 and 1994."
B1 Butcher,Male,Namibia,Namibia,Africa,2005,2007,2006,2,2000s,5,0,5,"Murdered at least five women between 2005 and 2007, with all murders related to the National Road B1."
Alexander Spesivtsev,Male,Russia,Russia,Europe,1991,1996,1993,5,1990s,82,78,4,"Cannibal known as ""The Novokuznetsk Monster""; admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for luring Spesivtsev's victims to their home."
Charlie Brandt,Male,United States,United States,North America,1971,2004,1987,33,1980s,29,25,4,"Killed himself by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped."
Scott Lee Kimball,Male,United States,United States,North America,2003,2004,2003,1,2000s,21,17,4,"A skilled forger who, while he ran a legitimate business buying and selling organic beef, primarily enriched himself by passing bad checks on the accounts of others and using forged documents; by 2003 he had faced criminal charges in four Western states. These white-collar crimes also enabled his murders, by allowing him to create evidence that his victims were still alive after he had killed them; he also used their checking accounts and credit cards to further his schemes once they were dead. For the first year of his murder activity, he worked as an informant for the FBI, which both paid him and protected him from facing justice over some of his fraud schemes."
Robert Black,Male,"United Kingdom, Ireland, West Germany, Netherlands, France",Multiple Countries,Europe,1981,1986,1983,5,1980s,18,14,4,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder."
Max Gufler,Male,Austria,Austria,Europe,1946,1958,1952,12,1950s,18,14,4,"Poisoned and drowned four women, but suspected of killing 18 in total."
Ernesto Picchioni,Male,Italy,Italy,Europe,,1949,,,<NA>s,16,12,4,Murdered people who approached his home; died of cardiac arrest in 1967.
Baekuni,Male,Indonesia,Indonesia,Asia,1993,2010,2001,17,2000s,14,10,4,"Child rapist who killed young boys; initially sentenced to life imprisonment, but changed to the death sentence."
Igor Chernat,Male,Soviet Union,Soviet Union,Multiple continents,1985,1986,1985,1,1980s,13,9,4,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987."
Ricky Lee Green,Male,United States,United States,North America,1985,1986,1985,1,1980s,12,8,4,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.
Robert Hicks Murray,Male,United Kingdom,United Kingdom,Europe,,1912,,,<NA>s,11,7,4,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.
William Dean Christensen,Male,"United States, Canada",Multiple Countries,North America,1982,1983,1982,1,1980s,10,6,4,"Known as ""The American Jack the Ripper""; murdered and mutilated three women and one man; Canadian and US authorities also investigated him as a suspect in a total of ten murders, but he died before any of these claims could be confirmed."
Angus Sinclair,Male,United Kingdom,United Kingdom,Europe,,1982,,,<NA>s,10,6,4,"Scottish man who was originally convicted of murdering a 7-year-old girl when he was 16. As well as being convicted of the murders of three women in 1977 and 1978, police suspect he was responsible for four other murders of women in Glasgow in these years. Also a suspect in two other murders in 1970 and 1979 respectively."
John Cooper,Male,United Kingdom,United Kingdom,Europe,1985,1998,1991,13,1990s,9,5,4,"Psychopathic Welsh burglar who was convicted in 2011 of the double shotgun murders of a couple on the Pembrokeshire coast in 1989 and another during a botched burglary nearby in 1985. Police believed he killed at least one other woman in 1989, and investigated the possibility he could also have been responsible for another double shotgun murder in Bridgend in 1993. A forensic pathologist also claimed to police that he could have been responsible for two murders of elderly siblings in Pembrokeshire in 1976."
Cary Stayner,Male,United States,United States,North America,1999,2008,2003,9,2000s,9,5,4,"Known as ""The Yosemite Killer"". Killed four women in Yosemite, California. Sentenced to death. Brother of kidnapping victim Steven Stayner."
Tony Costa,Male,United States,United States,North America,1968,1969,1968,1,1960s,8,4,4,Dismembered and mutilated 4 women in Cape Cod in the late 1960s; linked to at least 4 other deaths and disappearances.
Carlton Gary,Male,United States,United States,North America,1975,1978,1976,3,1970s,8,4,4,"Gary was convicted of raping and strangling three elderly women in Columbus, Georgia between 1977 and 1978, although police and prosecutors believe him to be responsible for up to seven rape-murders in Columbus. DNA also linked him to an additional murder in Syracuse, New York, but prosecutors did not charge him because he was already on death row."
Oakland County Child Killer,Male,United States,United States,North America,1976,1977,1976,1,1970s,9,5,4,"Unidentified person or persons who abducted and murdered at least four children in Oakland County, Michigan, between 1976 and 1977."
Robert Rozier,Male,United States,United States,North America,1981,1986,1983,5,1980s,7,3,4,Former NFL player that was convicted of four murders but confessed to seven as a member of the Nation of Yahweh.
Leonard Fraser,Male,Australia,Australia,Oceania,1998,1999,1998,1,1990s,7,3,4,Serial rapist and pedophile who murdered four women in Rockhampton. Sentenced to five consecutive life sentences plus 25 years without the possibility of parole; died in prison of a heart attack in 2007.
Christopher Peterson,Male,United States,United States,North America,1990,1999,1994,9,1990s,7,3,4,"Peterson was convicted of four fatal shootings by the so-called ""Shotgun Killer"" that occurred between October and December 1990. He was charged in three other murders related to the killing spree but was acquitted."
Ricardo Caputo,Male,"United States, Mexico",Multiple Countries,North America,1971,1983,1977,12,1970s,6,2,4,Was No. 1 of the FBI Ten Most Wanted Fugitives during his time as a fugitive in the 1980s. Surrendered himself to justice in 1994 and died of cardiac arrest in prison three years later.
Anthony Allen Shore,Male,United States,United States,North America,1986,1995,1990,9,1990s,5,1,4,"Known as ""The Tourniquet Killer""; convicted of strangling a woman with an unusual ligature in 1992 and confessed to killing three girls including two with same MO."
Daytona Beach killer,Male,United States,United States,North America,2005,2007,2006,2,2000s,5,1,4,"Murdered four, possibly five, women in Daytona Beach, Florida between 2005 and 2007."
Jozef Slovák,Male,Czechoslovakia,Czechoslovakia,Europe,1978,1991,1984,13,1980s,4,0,4,"Suspected by investigators of more murders, but only four could be proven."
Monster of Udine,Male,Italy,Italy,Europe,1980,1989,1984,9,1980s,4,0,4,"Killed at least 4 victims in the Province of Udine, Italy."
John Martin Crawford,Male,Canada,Canada,North America,1981,1992,1986,11,1980s,4,0,4,Convicted in 1996 for the murders of three native women.
Oba Chandler,Male,United States,United States,North America,1989,1990,1989,1,1980s,4,0,4,"Convicted for the June 1989 murders of Joan Rogers and her two daughters, whose bodies were found floating in Tampa Bay, Florida with their hands and feet bound. Autopsies showed the victims had been thrown into the water while still alive, with ropes tied to a concrete block around their necks. Chandler was executed in 2011. In February 2014, DNA evidence also identified Chandler as the murderer of Ivelisse Berrios-Beguerisse, who was found dead in Coral Springs, Florida, on November 27, 1990."
Dallen Bounds,Male,United States,United States,North America,1999,2008,2003,9,2000s,4,0,4,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest."
Wayne Adam Ford,Male,United States,United States,North America,1997,1998,1997,1,1990s,4,0,4,Confessed to murdering four women; believed to have killed others.
Heinrich Pommerenke,Male,Germany,Germany,Europe,1959,1968,1963,9,1960s,4,0,4,Killed four women.
Robert Mone,Male,United Kingdom,United Kingdom,Europe,1967,1976,1971,9,1970s,4,0,4,Scottish man who shot dead a teacher at his former school in Dundee in 1967. Later escaped from a secure hospital in 1976 and killed three more.
Jerry Brudos,Male,United States,United States,North America,1968,1969,1968,1,1960s,4,0,4,"Brudos was a necrophiliac who had a fascination with women's shoes, and would often dress his victims' corpses in women's clothing."
Robert Maudsley,Male,United Kingdom,United Kingdom,Europe,1974,1978,1976,4,1970s,4,0,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently, killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983."
Aalt Mondria,Male,Netherlands,Netherlands,Europe,1978,1997,1987,19,1980s,4,0,4,"Dutch criminal and serial killer who committed four murders and was responsible for a large number of assaults. Mondria was considered extremely violent and aggressive. After a notorious murder of his girlfriend's 10-year-old son, he was sentenced to 18 years imprisonment in 1998, after initially receiving life imprisonment for three murders in 1978, for which he also received 15 years imprisonment."
Tsutomu Miyazaki,Male,Japan,Japan,Asia,1988,1989,1988,1,1980s,4,0,4,Japanese man who murdered four young girls between August 1988 and June 1989 popularly known as the Otaku Killer. He was active in Tokyo and Saitama Prefecture.
Cody Legebokoff,Male,Canada,Canada,North America,2009,2010,2009,1,2000s,4,0,4,"Canadian serial killer convicted in 2014 by the British Columbia Supreme Court of murdering three women and one teenage girl, between 2009 and 2010, in or near the city of Prince George, British Columbia. He is one of Canada's youngest convicted serial killers."
Stephen Port,Male,United Kingdom,United Kingdom,Europe,2014,2015,2014,1,2010s,4,0,4,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London."
Howell Donaldson III,Male,United States,United States,North America,2017,2026,2021,9,2020s,4,0,4,"Murdered four people in the Seminole Heights neighborhood of Tampa, Florida in October and November 2017. All four victims were shot dead seemingly at random. Sentenced to four consecutive life sentences without parole in May 2023."
Arnold Sodeman,Male,Australia,Australia,Oceania,1930,1935,1932,5,1930s,4,0,4,"Sodeman was convicted of murdering four children between 1930 and 1935. He would abduct children, gag them and tie their hands behind their back with their own clothing and then strangle them to death. Sodeman was one of the last eleven people to be executed in Victoria."
Craig Price,Male,United States,United States,North America,1987,1989,1988,2,1980s,4,0,4,"Murdered four people during violent attacks in their homes in Warwick, Rhode Island when he was a teenager."
Fritz Honka,Male,Germany,Germany,Europe,1970,1975,1972,5,1970s,4,0,4,Strangled sex workers who refused to service him in the way that he wanted.
Cayetano Santos Godino,Male,Argentina,Argentina,South America,1912,1921,1916,9,1910s,4,0,4,"Known as Petiso Orejudo (""the Big-eared Midget""). Teenage arsonist, animal killer and child murderer with congenital syphilis. Arrested at age 16 in 1912 for killing 4 children, although he tried to kill seven more, the first one when he was seven himself. Interned in 1913 in a reformatory, where he tried to kill other immates, and from 1915 in prison. Died in jail in 1948."
Eastbound Strangler,Male,United States,United States,North America,2006,2015,2010,9,2010s,4,0,4,"Killed four women in October and November 2006 in Atlantic City, NJ. Each was placed about sixty feet apart in a drainage ditch filled with shallow water. They were facing east and missing their socks."
Caroline Grills,Male,Australia,Australia,Oceania,1947,1953,1950,6,1950s,4,0,4,Poisoned four people (most of them relatives) with thallium hidden in tea and scones she had given them in Sydney. Sentenced to five consecutive life sentences (including one for attempting to poison another family member); died from peritonitis in 1960.
Gordon Cummins,Male,United Kingdom,United Kingdom,Europe,1942,1951,1946,9,1940s,4,0,4,Raped three of his victims and robbed the remaining one. Also attacked two other women. Sentenced to death by hanging.
Marc Sappington,Male,United States,United States,North America,2001,2010,2005,9,2000s,4,0,4,Schizophrenic serial killer who heard voices telling him to kill after extended daily PCP use. He cannibalized part of his last victim.
Peter Woodcock,Male,Canada,Canada,North America,1956,1991,1973,35,1970s,4,0,4,"Sexual sadist and child rapist. Killed three young children in Toronto in the 1950s. Sentenced to a psychiatric facility, where he murdered a fellow inmate in 1991."
Léopold Dion,Male,Canada,Canada,North America,1963,1972,1967,9,1960s,4,0,4,"Known as the ""Monster of Port-Rouge"". Canadian sex offender and serial killer who was active in Quebec. Sentenced to hang but stabbed to death on November 17, 1972, by fellow inmate Normand ""Lawrence d'Arabie"" Champagne, who was found not guilty by reason of insanity."
John Ingvar Lövgren,Male,Sweden,Sweden,Europe,1958,1963,1960,5,1960s,4,0,4,Confessed to four murders committed between 1958 and 1963 in the Stockholm region.
Lam Kor-wan,Male,Hong Kong,Hong Kong,Asia,1980,,,,<NA>s,4,0,4,Taxi driver and one of Hong Kong's only two known serial killers. Famous for keeping body parts in his parents' home.
Jürgen Bartsch,Male,West Germany,West Germany,Europe,1962,1966,1964,4,1960s,4,0,4,"Killed four, one escaped; died by wrongful overdose during castration surgery."
Wayne Boden,Male,Canada,Canada,North America,1968,1971,1969,3,1960s,4,0,4,"Known as ""the Vampire Rapist"" killed 4 women between 1968 and 1971; died in prison 2006"
Ion Rîmaru,Male,Romania,Romania,Europe,1970,1971,1970,1,1970s,4,0,4,"Known as ""The Vampire of Bucharest"". Attacked 15 lone waitresses as they returned from work with a hammer, hatchet, knife or iron bar, always after midnight and under unusual weather (snowstorms, fog, hard rain, etc.). Four were killed."
David Meirhofer,Male,United States,United States,North America,1967,1974,1970,7,1970s,4,0,4,Killed three children and an ex-girlfriend between 1967 and 1974; first serial killer apprehended by offender profiling.
Donald Neilson,Male,United Kingdom,United Kingdom,Europe,1971,1975,1973,4,1970s,4,0,4,"Armed robber and murderer known as the ""Black Panther"". Died in prison in 2011."
Thor Nis Christiansen,Male,United States,United States,North America,1977,1979,1978,2,1970s,4,0,4,"Shot dead and committed necrophilia on 4 young women in Isla Vista, California in the late 1970s. Stabbed to death in prison on March 30, 1981; killer unknown."
Michael Lupo,Male,United Kingdom,United Kingdom,Europe,1986,1995,1990,9,1990s,4,0,4,"Called himself ""The Wolf Man"". Murdered four men after being diagnosed with HIV, died in prison in 1995."
Peter Lundin,Male,Denmark,Denmark,Europe,1991,2000,1995,9,1990s,4,0,4,"Killed his mother in 1991, then killed his mistress and her two children 9 years later; Sentenced to prison."
James Swann,Male,United States,United States,North America,1993,2002,1997,9,1990s,4,0,4,Known as The Shotgun Stalker; killed 4 and injured 5 in Washington D.C. in 1993.
Steven Grieveson,Male,United Kingdom,United Kingdom,Europe,1993,1994,1993,1,1990s,4,0,4,Murdered four boys in an attempt to conceal his homosexuality.
Frank Gust,Male,Germany,Germany,Europe,1994,1998,1996,4,1990s,4,0,4,Kill four women form 1994 to 1998. Sentenced to life imprisonment.
Alexander Tchayka,Male,Russia,Russia,Europe,1994,2003,1998,9,1990s,4,0,4,All the victims were women wearing fur coats and were stabbed multiple times (21 in one case).
Peter Moore,Male,United Kingdom,United Kingdom,Europe,1995,2004,1999,9,1990s,4,0,4,Stabbed and mutilated four men. Imprisoned for life since 1996.
Hiroaki Hidaka,Male,Japan,Japan,Asia,1996,2005,2000,9,2000s,4,0,4,Killed and robbed four women. Hanged in 2006.
Nicolai Bonner,Male,Israel,Israel,Asia,2005,2014,2009,9,2000s,4,0,4,"Born in Moldova, Bonner beat to death four fellow immigrants from the former Soviet Union, three of whom were homeless, and then tried to set them on fire. Sentenced to life imprisonment in 2007."
Raúl Osiel Marroquín,Male,Mexico,Mexico,North America,2005,2014,2009,9,2000s,4,0,4,"Called ""The Sadist"". Lured men in gay bars and strangled them, abandoning their bodies inside suitcases all over Mexico City. Two other victims were released after demanding a ransom from their families."
Dale Cregan,Male,United Kingdom,United Kingdom,Europe,2012,2021,2016,9,2010s,4,0,4,
Richard Kuklinski,Male,United States,United States,North America,1948,1986,1967,38,1960s,175,172,3,
Harvey Miguel Robinson,Male,United States,United States,North America,1992,1993,1992,1,1990s,3,0,3,An American serial killer who murdered three women when he was only 18 years-old.
Albert Fish,Male,United States,United States,North America,1924,1932,1928,8,1920s,54,51,3,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.
Robert Ben Rhoades,Male,United States,United States,North America,1989,1990,1989,1,1980s,50,47,3,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.
Peter Tobin,Male,United Kingdom,United Kingdom,Europe,1991,2006,1998,15,1990s,48,45,3,"Scottish rapist and serial killer known to have killed at least three young women. Was also previously a suspect in the Bible John murders committed in Glasgow during the late 1960s, although police have now dismissed the theory."
Pedro Padilla Flores,Male,Mexico,Mexico,North America,1986,1995,1990,9,1990s,30,27,3,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.
Stephen Morin,Male,United States,United States,North America,1981,1990,1985,9,1980s,30,27,3,Convicted of murdering three women within a period of five weeks in 1981. Sentenced to the death penalty.
Dorothea Puente,Female,United States,United States,North America,1982,1988,1985,6,1980s,17,14,3,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.
Billy Glaze,Male,United States,United States,North America,1986,1987,1986,1,1980s,20,17,3,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American sex workers in Minneapolis in 1986 and 1987."
Sidney Cooke,Male,United Kingdom,United Kingdom,Europe,,1989,,,<NA>s,20,17,3,"Described by The Guardian newspaper in 1999 as ""Britain's most notorious paedophile"", Cooke and his infamous paedophile ring were convicted of the murder of 14-year-old Jason Swift in 1984. They were also known by police to have been responsible for the abductions and murders of children Barry Lewis and Mark Tildesley. Cooke was the ringleader of the gang, who are believed to have murdered up to 20 children, possibly including Vishal Mehrotra and Martin Allen."
Bertha Gifford,Female,United States,United States,North America,1909,1928,1918,19,1910s,17,14,3,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri."
Bernhard Prigan,Male,"Allied-occupied Germany, West Germany",Multiple Countries,Multiple continents,1947,1952,1949,5,1940s,16,13,3,Killed women near highways; confessed to a total of 16 murders.
Ronald Janssen,Male,Belgium,Belgium,Europe,1990,,,,<NA>s,15,12,3,
Patrick Mackay[a],Male,United Kingdom,United Kingdom,Europe,1973,1975,1974,2,1970s,13,10,3,"Burglar suspect of 12 violent murders during robberies, charged with five, convicted of three. The two other cases were left to lie on file, and proof was later found by police that he had killed one of these victims. Confessed to police that he had killed 13 people. Has been eligible for parole since 1995 and since 2017 has been held in an open prison with day release provisions. Now known as 'David Groves'."
Koos Hertogs,Male,Netherlands,Netherlands,Europe,1979,1980,1979,1,1970s,12,9,3,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s."
Michael Gargiulo,Male,United States,United States,North America,1993,2008,2000,15,2000s,10,7,3,"Dubbed ""The Hollywood Ripper"", Gargiulo stabbed 3 women to death, and tried to kill a fourth woman. Sentenced to death in 2021 but still on death row."
Chisako Kakehi,Male,Japan,Japan,Asia,2007,2013,2010,6,2010s,10,7,3,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death."
Heriberto Seda,Male,United States,United States,North America,1990,1996,1993,6,1990s,8,5,3,"Considered to be a copycat of the Zodiac Killer. Claimed to have killed people based on their zodiac signs, and only killed when certain star formations were out."
Anthony Hardy,Male,United Kingdom,United Kingdom,Europe,2002,2011,2006,9,2000s,8,5,3,"Known as the ""Camden Ripper"", killed and dismembered three sex workers in Camden, London in 2002. Police believe he could be responsible for the murders of three other sex workers in London in the 1990s and two others in Nottinghamshire. One other unsolved murder he was linked to was solved in 2011 when her former partner John Sweeney was convicted of her murder."
Michael Lee Lockhart,Male,United States,United States,North America,1987,1988,1987,1,1980s,6,3,3,"Multi-state serial killer who received death sentences in three states (Florida, Indiana, and Texas). He was executed in 1997 in Texas."
Peter Dupas,Male,Australia,Australia,Oceania,1997,1999,1998,2,1990s,6,3,3,"Sexual sadist from Melbourne, who murdered three women and is suspected of at least three further killings. Was convicted of 16 separate acts of sexual violence before his first murder charge. Serving three consecutive life sentences without the possibility of parole."
Stephen Griffiths,Male,United Kingdom,United Kingdom,Europe,2009,2010,2009,1,2000s,6,3,3,"Known to have killed three sex workers, but claimed to police to have killed 6. Has been a suspect in one other murder. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them."
Levi Bellfield,Male,United Kingdom,United Kingdom,Europe,2002,2004,2003,2,2000s,6,3,3,"West London serial killer convicted of two fatal hammer attacks on women and the murder of Milly Dowler. Also a suspect in the murders of his childhood girlfriend Patsy Morris in 1980, Judith Gold, who was hit over the head in 1990, and Elizabeth Chau, who disappeared in 1999 and whose murder Bellfield has allegedly confessed to."
Hans van Zon,Male,Netherlands,Netherlands,Europe,1967,1976,1971,9,1970s,5,2,3,"After the relationship between Hans van Zon and his girlfriend ended in April 1967, van Zon alleged that she continued to impose on him. To put an end to this, he went into her house and killed her with a self-made lead pipe. He also killed an 80-year-old shopkeeper, and a milkman in robberies. In addition to the murders he was tried for, van Zon was also suspected of several other murders, including the lust murder of Elly Segov in 1964 and the murder of the English homosexual film director Claude Berkeley in 1965."
Judy Buenoano,Male,United States,United States,North America,1971,1980,1975,9,1970s,5,2,3,"Poisoned her husband, boyfriend and son with arsenic; drowned the son in 1980 but caught in 1983 after poisoning and car bombing a fiancée."
Martin Ney,Male,Germany,Germany,Europe,1992,2004,1998,12,1990s,5,2,3,Wore a mask while killing 3 and sexually assaulting at least 40 children.
Paul Denyer,Male,Australia,Australia,Oceania,1993,2002,1997,9,1990s,5,2,3,"The ""Frankston Killer"", sentenced to three consecutive life sentences with a non-parole period of 30 years."
